Year,County,PDI,PDIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2005,Riverside,16,Gastroenteritis (Age 3 months-17 years),818,"559,024",146.3,144.1,,,,,,
2006,Riverside,16,Gastroenteritis (Age 3 months-17 years),707,"581,388",121.6,119.2,,,,,,
2007,Riverside,16,Gastroenteritis (Age 3 months-17 years),633,"598,270",105.8,103.5,,,,,,
2008,Riverside,16,Gastroenteritis (Age 3 months-17 years),488,"603,860",80.8,79.3,,,,,,
2009,Riverside,16,Gastroenteritis (Age 3 months-17 years),448,"606,042",73.9,73,,,,,,
2010,Riverside,16,Gastroenteritis (Age 3 months-17 years),319,"615,456",51.8,51.3,,,,,,
2011,Riverside,16,Gastroenteritis (Age 3 months-17 years),331,"613,227",54,53.3,,,,,,
2012,Riverside,16,Gastroenteritis (Age 3 months-17 years),306,"606,487",50.5,49.9,,,,,,
2013,Riverside,16,Gastroenteritis (Age 3 months-17 years),295,"605,157",48.7,48.4,,,,,,
2014,Riverside,16,Gastroenteritis (Age 3 months-17 years),204,"653,370",31.2,30.8,,,,,,
2015,Riverside,16,Gastroenteritis (Age 3 months-17 years),229,"448,430",51.1,50.8,,,,,,
2016,Riverside,16,Gastroenteritis (Age 3 months-17 years),,,,,239,"605,544",39.5,41.5,,
2017,Riverside,16,Gastroenteritis (Age 3 months-17 years),,,,,146,"607,718",24.0,25.2,,
2018,Riverside,16,Gastroenteritis (Age 3 months-17 years),,,,,115,"607,472",18.9,20.0,,
2019,Riverside,16,Gastroenteritis (Age 3 months-17 years),,,,,140,"605,239",23.1,24.5,,
2020,Riverside,16,Gastroenteritis (Age 3 months-17 years),,,,,42,"604,035",7.0,7.4,,
2005,Riverside,17,Perforated Appendix (Age 1-17),237,785,301.9,297.5,,,,,,
2006,Riverside,17,Perforated Appendix (Age 1-17),237,777,305,299.7,,,,,,
2007,Riverside,17,Perforated Appendix (Age 1-17),259,866,299.1,295,,,,,,
2008,Riverside,17,Perforated Appendix (Age 1-17),241,867,278,274.5,,,,,,
2009,Riverside,17,Perforated Appendix (Age 1-17),259,926,279.7,274.7,,,,,,
2010,Riverside,17,Perforated Appendix (Age 1-17),264,927,284.8,278.4,,,,,,
2011,Riverside,17,Perforated Appendix (Age 1-17),303,967,313.3,301.8,,,,,,
2012,Riverside,17,Perforated Appendix (Age 1-17),313,920,340.2,339.7,,,,,,
2013,Riverside,17,Perforated Appendix (Age 1-17),280,907,308.7,299.5,,,,,,
2014,Riverside,17,Perforated Appendix (Age 1-17),313,935,334.8,326.2,,,,,,
2015,Riverside,17,Perforated Appendix (Age 1-17),237,606,391.1,390.4,,,,,,
2005,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),218,"559,024",39,38.5,,,,,,
2006,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),193,"581,388",33.2,32.6,,,,,,
2007,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),203,"598,270",33.9,33.2,,,,,,
2008,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),210,"603,860",34.8,34,,,,,,
2009,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),261,"606,042",43.1,42.2,,,,,,
2010,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),219,"615,456",35.6,35,,,,,,
2011,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),196,"613,227",32,31.4,,,,,,
2012,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),172,"606,487",28.4,28,,,,,,
2013,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),136,"605,157",22.5,22.2,,,,,,
2014,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),115,"653,370",17.6,17.3,,,,,,
2015,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),91,"448,430",20.3,20.1,,,,,,
2016,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),,,,,110,"605,544",18.2,18.3,,
2017,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),,,,,74,"607,718",12.2,12.3,,
2018,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),,,,,63,"607,472",10.4,10.5,,
2019,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),,,,,62,"605,239",10.2,10.4,,
2020,Riverside,18,Urinary Tract Infection (Age 3 months-17 years),,,,,41,"604,035",6.8,6.9,,
2005,Riverside,90,PDI Overall Composite (Age 6-17),644,"386,085",166.8,165.9,,,,,,
2006,Riverside,90,PDI Overall Composite (Age 6-17),558,"400,477",139.3,138.8,,,,,,
2007,Riverside,90,PDI Overall Composite (Age 6-17),536,"411,465",130.3,129.7,,,,,,
2008,Riverside,90,PDI Overall Composite (Age 6-17),500,"416,367",120.1,119.4,,,,,,
2009,Riverside,90,PDI Overall Composite (Age 6-17),558,"419,439",133,132.1,,,,,,
2010,Riverside,90,PDI Overall Composite (Age 6-17),475,"426,748",111.3,110.3,,,,,,
2011,Riverside,90,PDI Overall Composite (Age 6-17),476,"424,559",112.1,110.9,,,,,,
2012,Riverside,90,PDI Overall Composite (Age 6-17),519,"420,326",123.5,121.9,,,,,,
2013,Riverside,90,PDI Overall Composite (Age 6-17),424,"419,877",101,99.5,,,,,,
2014,Riverside,90,PDI Overall Composite (Age 6-17),464,"452,340",102.6,101.9,,,,,,
2015,Riverside,90,PDI Overall Composite (Age 6-17),304,"311,627",97.6,95.8,,,,,,
2016,Riverside,90,PDI Overall Composite (Age 6-17),,,,,490,"421,642",116.2,121.3,,
2017,Riverside,90,PDI Overall Composite (Age 6-17),,,,,188,"423,225",44.4,46.4,,
2018,Riverside,90,PDI Overall Composite (Age 6-17),,,,,177,"424,036",41.7,43.7,,
2019,Riverside,90,PDI Overall Composite (Age 6-17),,,,,178,"424,067",42.0,43.9,,
2020,Riverside,90,PDI Overall Composite (Age 6-17),,,,,80,"425,222",18.8,19.7,,
2005,Riverside,91,PDI Acute Composite (Age 6-17),264,"386,085",68.4,68,,,,,,
2006,Riverside,91,PDI Acute Composite (Age 6-17),236,"400,477",58.9,58.5,,,,,,
2007,Riverside,91,PDI Acute Composite (Age 6-17),198,"411,465",48.1,47.5,,,,,,
2008,Riverside,91,PDI Acute Composite (Age 6-17),199,"416,367",47.8,47.1,,,,,,
2009,Riverside,91,PDI Acute Composite (Age 6-17),183,"419,439",43.6,42.8,,,,,,
2010,Riverside,91,PDI Acute Composite (Age 6-17),166,"426,748",38.9,38.1,,,,,,
2011,Riverside,91,PDI Acute Composite (Age 6-17),164,"424,559",38.6,37.8,,,,,,
2012,Riverside,91,PDI Acute Composite (Age 6-17),168,"420,326",40,39.1,,,,,,
2013,Riverside,91,PDI Acute Composite (Age 6-17),130,"419,877",31,30.3,,,,,,
2014,Riverside,91,PDI Acute Composite (Age 6-17),118,"452,340",26.1,25.6,,,,,,
2015,Riverside,91,PDI Acute Composite (Age 6-17),96,"311,627",30.8,30.1,,,,,,
2016,Riverside,91,PDI Acute Composite (Age 6-17),,,,,140,"421,642",33.2,34.6,,
2017,Riverside,91,PDI Acute Composite (Age 6-17),,,,,77,"423,225",18.2,19.0,,
2018,Riverside,91,PDI Acute Composite (Age 6-17),,,,,60,"424,036",14.1,14.8,,
2019,Riverside,91,PDI Acute Composite (Age 6-17),,,,,77,"424,067",18.2,19.0,,
2020,Riverside,91,PDI Acute Composite (Age 6-17),,,,,29,"425,222",6.8,7.1,,
2005,Riverside,92,PDI Chronic Composite (Age 6-17),380,"386,085",98.4,97.9,,,,,,
2006,Riverside,92,PDI Chronic Composite (Age 6-17),322,"400,477",80.4,80.2,,,,,,
2007,Riverside,92,PDI Chronic Composite (Age 6-17),338,"411,465",82.1,82,,,,,,
2008,Riverside,92,PDI Chronic Composite (Age 6-17),301,"416,367",72.3,72.2,,,,,,
2009,Riverside,92,PDI Chronic Composite (Age 6-17),375,"419,439",89.4,89.2,,,,,,
2010,Riverside,92,PDI Chronic Composite (Age 6-17),309,"426,748",72.4,72.1,,,,,,
2011,Riverside,92,PDI Chronic Composite (Age 6-17),312,"424,559",73.5,73,,,,,,
2012,Riverside,92,PDI Chronic Composite (Age 6-17),351,"420,326",83.5,82.7,,,,,,
2013,Riverside,92,PDI Chronic Composite (Age 6-17),294,"419,877",70,69.2,,,,,,
2014,Riverside,92,PDI Chronic Composite (Age 6-17),346,"452,340",76.5,76.4,,,,,,
2015,Riverside,92,PDI Chronic Composite (Age 6-17),208,"311,627",66.7,65.7,,,,,,
2016,Riverside,92,PDI Chronic Composite (Age 6-17),,,,,350,"421,642",83.0,86.6,,
2017,Riverside,92,PDI Chronic Composite (Age 6-17),,,,,111,"423,225",26.2,27.4,,
2018,Riverside,92,PDI Chronic Composite (Age 6-17),,,,,117,"424,036",27.6,28.8,,
2019,Riverside,92,PDI Chronic Composite (Age 6-17),,,,,101,"424,067",23.8,24.9,,
2020,Riverside,92,PDI Chronic Composite (Age 6-17),,,,,51,"425,222",12.0,12.5,,
2005,Sacramento,9,Low Birth Weight (<2500 grams),"1,175","21,001",55.9,56,,,,,,
2006,Sacramento,9,Low Birth Weight (<2500 grams),"1,239","21,642",57.2,57.2,,,,,,
2007,Sacramento,9,Low Birth Weight (<2500 grams),"1,174","21,823",53.8,53.8,,,,,,
2008,Sacramento,9,Low Birth Weight (<2500 grams),"1,129","21,067",53.6,53.6,,,,,,
2009,Sacramento,9,Low Birth Weight (<2500 grams),"1,182","20,155",58.6,58.6,,,,,,
2010,Sacramento,9,Low Birth Weight (<2500 grams),"1,217","19,755",61.6,61.6,,,,,,
2011,Sacramento,9,Low Birth Weight (<2500 grams),"1,185","19,719",60.1,60.1,,,,,,
2012,Sacramento,9,Low Birth Weight (<2500 grams),"1,145","19,371",59.1,59.1,,,,,,
2013,Sacramento,9,Low Birth Weight (<2500 grams),"1,091","19,104",57.1,57.1,,,,,,
2014,Sacramento,9,Low Birth Weight (<2500 grams),"1,154","19,473",59.3,59.2,,,,,,
2015,Sacramento,9,Low Birth Weight (<2500 grams),839,"14,332",58.5,58.5,,,,,,
2005,Sacramento,14,Asthma (Age 2-17),271,"320,091",84.7,83.8,,,,,,
2006,Sacramento,14,Asthma (Age 2-17),290,"319,718",90.7,89.8,,,,,,
2007,Sacramento,14,Asthma (Age 2-17),216,"320,467",67.4,66.6,,,,,,
2008,Sacramento,14,Asthma (Age 2-17),244,"321,387",75.9,74.7,,,,,,
2009,Sacramento,14,Asthma (Age 2-17),299,"321,891",92.9,91.2,,,,,,
2010,Sacramento,14,Asthma (Age 2-17),311,"322,983",96.3,94.3,,,,,,
2011,Sacramento,14,Asthma (Age 2-17),281,"320,309",87.7,85.4,,,,,,
2012,Sacramento,14,Asthma (Age 2-17),295,"317,745",92.8,89.7,,,,,,
2013,Sacramento,14,Asthma (Age 2-17),295,"317,875",92.8,89.4,,,,,,
2014,Sacramento,14,Asthma (Age 2-17),381,"324,243",117.5,114.4,,,,,,
2015,Sacramento,14,Asthma (Age 2-17),272,"236,680",114.9,110.1,,,,,,
2016,Sacramento,14,Asthma (Age 2-17),,,,,314,"323,730",97.0,104.4,,
2017,Sacramento,14,Asthma (Age 2-17),,,,,274,"324,971",84.3,91.1,,
2018,Sacramento,14,Asthma (Age 2-17),,,,,233,"324,652",71.8,77.6,,
2019,Sacramento,14,Asthma (Age 2-17),,,,,211,"324,328",65.1,70.4,,
2020,Sacramento,14,Asthma (Age 2-17),,,,,92,"323,746",28.4,30.9,,
2005,Sacramento,15,Diabetes Short-term Complications (Age 6-17),85,"242,592",35,34.4,,,,,,
2006,Sacramento,15,Diabetes Short-term Complications (Age 6-17),74,"241,845",30.6,29.9,,,,,,
2007,Sacramento,15,Diabetes Short-term Complications (Age 6-17),70,"241,883",28.9,28.3,,,,,,
2008,Sacramento,15,Diabetes Short-term Complications (Age 6-17),90,"241,656",37.2,36.4,,,,,,
2009,Sacramento,15,Diabetes Short-term Complications (Age 6-17),93,"241,736",38.5,37.7,,,,,,
2010,Sacramento,15,Diabetes Short-term Complications (Age 6-17),89,"242,618",36.7,36.1,,,,,,
2011,Sacramento,15,Diabetes Short-term Complications (Age 6-17),89,"240,117",37.1,36.7,,,,,,
2012,Sacramento,15,Diabetes Short-term Complications (Age 6-17),99,"237,756",41.6,41.6,,,,,,
2013,Sacramento,15,Diabetes Short-term Complications (Age 6-17),92,"237,853",38.7,38.9,,,,,,
2014,Sacramento,15,Diabetes Short-term Complications (Age 6-17),63,"242,363",26,25.6,,,,,,
2015,Sacramento,15,Diabetes Short-term Complications (Age 6-17),53,"177,095",29.9,30.3,,,,,,
2016,Sacramento,15,Diabetes Short-term Complications (Age 6-17),,,,,58,"243,310",23.8,25.5,,
2017,Sacramento,15,Diabetes Short-term Complications (Age 6-17),,,,,45,"244,704",18.4,19.6,,
2018,Sacramento,15,Diabetes Short-term Complications (Age 6-17),,,,,42,"244,834",17.2,18.3,,
2019,Sacramento,15,Diabetes Short-term Complications (Age 6-17),,,,,46,"244,931",18.8,20.0,,
2020,Sacramento,15,Diabetes Short-term Complications (Age 6-17),,,,,65,"245,069",26.5,28.3,,
2005,Sacramento,16,Gastroenteritis (Age 3 months-17 years),439,"354,246",123.9,120.5,,,,,,
2006,Sacramento,16,Gastroenteritis (Age 3 months-17 years),308,"354,207",87,84.2,,,,,,
2007,Sacramento,16,Gastroenteritis (Age 3 months-17 years),312,"355,329",87.8,84.6,,,,,,
2008,Sacramento,16,Gastroenteritis (Age 3 months-17 years),250,"356,832",70.1,67,,,,,,
2009,Sacramento,16,Gastroenteritis (Age 3 months-17 years),212,"357,430",59.3,56.6,,,,,,
2010,Sacramento,16,Gastroenteritis (Age 3 months-17 years),134,"358,384",37.4,35.8,,,,,,
2011,Sacramento,16,Gastroenteritis (Age 3 months-17 years),151,"355,494",42.5,40.5,,,,,,
2012,Sacramento,16,Gastroenteritis (Age 3 months-17 years),137,"352,627",38.9,37,,,,,,
2013,Sacramento,16,Gastroenteritis (Age 3 months-17 years),198,"352,605",56.2,53.5,,,,,,
2014,Sacramento,16,Gastroenteritis (Age 3 months-17 years),106,"360,490",29.4,27.9,,,,,,
2015,Sacramento,16,Gastroenteritis (Age 3 months-17 years),167,"262,318",63.7,60.8,,,,,,
2016,Sacramento,16,Gastroenteritis (Age 3 months-17 years),,,,,134,"358,683",37.4,36.8,,
2017,Sacramento,16,Gastroenteritis (Age 3 months-17 years),,,,,137,"359,894",38.1,37.7,,
2018,Sacramento,16,Gastroenteritis (Age 3 months-17 years),,,,,129,"359,382",35.9,35.6,,
2019,Sacramento,16,Gastroenteritis (Age 3 months-17 years),,,,,98,"358,785",27.3,27.2,,
2020,Sacramento,16,Gastroenteritis (Age 3 months-17 years),,,,,40,"357,778",11.2,11.2,,
2005,Sacramento,17,Perforated Appendix (Age 1-17),155,414,374.4,369.7,,,,,,
2006,Sacramento,17,Perforated Appendix (Age 1-17),137,410,334.1,337.2,,,,,,
2007,Sacramento,17,Perforated Appendix (Age 1-17),129,422,305.7,302.2,,,,,,
2008,Sacramento,17,Perforated Appendix (Age 1-17),106,409,259.2,268.3,,,,,,
2009,Sacramento,17,Perforated Appendix (Age 1-17),132,437,302.1,299.8,,,,,,
2010,Sacramento,17,Perforated Appendix (Age 1-17),127,435,292,303.6,,,,,,
2011,Sacramento,17,Perforated Appendix (Age 1-17),121,402,301,295.8,,,,,,
2012,Sacramento,17,Perforated Appendix (Age 1-17),133,412,322.8,327.5,,,,,,
2013,Sacramento,17,Perforated Appendix (Age 1-17),130,369,352.3,349.4,,,,,,
2014,Sacramento,17,Perforated Appendix (Age 1-17),128,334,383.2,386.1,,,,,,
2015,Sacramento,17,Perforated Appendix (Age 1-17),103,250,412,407.2,,,,,,
2005,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),111,"354,246",31.3,30.7,,,,,,
2006,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),104,"354,207",29.4,28.6,,,,,,
2007,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),102,"355,329",28.7,27.8,,,,,,
2008,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),108,"356,832",30.3,29.1,,,,,,
2009,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),79,"357,430",22.1,21.2,,,,,,
2010,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),85,"358,384",23.7,22.8,,,,,,
2011,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),78,"355,494",21.9,21.1,,,,,,
2012,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),82,"352,627",23.3,22.4,,,,,,
2013,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),86,"352,605",24.4,23.6,,,,,,
2014,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),74,"360,490",20.5,19.6,,,,,,
2015,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),61,"262,318",23.3,22.7,,,,,,
2016,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),,,,,79,"358,683",22.0,21.3,,
2017,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),,,,,57,"359,894",15.8,15.4,,
2018,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),,,,,57,"359,382",15.9,15.5,,
2019,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),,,,,30,"358,785",8.4,8.2,,
2020,Sacramento,18,Urinary Tract Infection (Age 3 months-17 years),,,,,30,"357,778",8.4,8.2,,
2005,Sacramento,90,PDI Overall Composite (Age 6-17),335,"242,592",138.1,137,,,,,,
2006,Sacramento,90,PDI Overall Composite (Age 6-17),320,"241,845",132.3,131.5,,,,,,
2007,Sacramento,90,PDI Overall Composite (Age 6-17),257,"241,883",106.2,105.5,,,,,,
2008,Sacramento,90,PDI Overall Composite (Age 6-17),303,"241,656",125.4,124.4,,,,,,
2009,Sacramento,90,PDI Overall Composite (Age 6-17),313,"241,736",129.5,128.2,,,,,,
2010,Sacramento,90,PDI Overall Composite (Age 6-17),296,"242,618",122,120.4,,,,,,
2011,Sacramento,90,PDI Overall Composite (Age 6-17),277,"240,117",115.4,113.5,,,,,,
2012,Sacramento,90,PDI Overall Composite (Age 6-17),303,"237,756",127.4,124.8,,,,,,
2013,Sacramento,90,PDI Overall Composite (Age 6-17),329,"237,853",138.3,135.2,,,,,,
2014,Sacramento,90,PDI Overall Composite (Age 6-17),293,"242,363",120.9,119.3,,,,,,
2015,Sacramento,90,PDI Overall Composite (Age 6-17),252,"177,095",142.3,138.4,,,,,,
2016,Sacramento,90,PDI Overall Composite (Age 6-17),,,,,272,"243,310",111.8,120.1,,
2017,Sacramento,90,PDI Overall Composite (Age 6-17),,,,,253,"244,704",103.4,111.3,,
2018,Sacramento,90,PDI Overall Composite (Age 6-17),,,,,209,"244,834",85.4,91.9,,
2019,Sacramento,90,PDI Overall Composite (Age 6-17),,,,,184,"244,931",75.1,80.8,,
2020,Sacramento,90,PDI Overall Composite (Age 6-17),,,,,126,"245,069",51.4,55.3,,
2005,Sacramento,91,PDI Acute Composite (Age 6-17),112,"242,592",46.2,45.8,,,,,,
2006,Sacramento,91,PDI Acute Composite (Age 6-17),100,"241,845",41.3,40.9,,,,,,
2007,Sacramento,91,PDI Acute Composite (Age 6-17),89,"241,883",36.8,36.3,,,,,,
2008,Sacramento,91,PDI Acute Composite (Age 6-17),97,"241,656",40.1,39.4,,,,,,
2009,Sacramento,91,PDI Acute Composite (Age 6-17),79,"241,736",32.7,32,,,,,,
2010,Sacramento,91,PDI Acute Composite (Age 6-17),65,"242,618",26.8,26.2,,,,,,
2011,Sacramento,91,PDI Acute Composite (Age 6-17),66,"240,117",27.5,26.9,,,,,,
2012,Sacramento,91,PDI Acute Composite (Age 6-17),70,"237,756",29.4,28.8,,,,,,
2013,Sacramento,91,PDI Acute Composite (Age 6-17),94,"237,853",39.5,38.6,,,,,,
2014,Sacramento,91,PDI Acute Composite (Age 6-17),60,"242,363",24.8,24.2,,,,,,
2015,Sacramento,91,PDI Acute Composite (Age 6-17),68,"177,095",38.4,37.6,,,,,,
2016,Sacramento,91,PDI Acute Composite (Age 6-17),,,,,64,"243,310",26.3,29.3,,
2017,Sacramento,91,PDI Acute Composite (Age 6-17),,,,,67,"244,704",27.4,30.6,,
2018,Sacramento,91,PDI Acute Composite (Age 6-17),,,,,45,"244,834",18.4,20.6,,
2019,Sacramento,91,PDI Acute Composite (Age 6-17),,,,,35,"244,931",14.3,16.0,,
2020,Sacramento,91,PDI Acute Composite (Age 6-17),,,,,26,"245,069",10.6,11.8,,
2005,Sacramento,92,PDI Chronic Composite (Age 6-17),223,"242,592",91.9,91.3,,,,,,
2006,Sacramento,92,PDI Chronic Composite (Age 6-17),220,"241,845",91,90.5,,,,,,
2007,Sacramento,92,PDI Chronic Composite (Age 6-17),168,"241,883",69.5,69.2,,,,,,
2008,Sacramento,92,PDI Chronic Composite (Age 6-17),206,"241,656",85.2,84.9,,,,,,
2009,Sacramento,92,PDI Chronic Composite (Age 6-17),234,"241,736",96.8,96.3,,,,,,
2010,Sacramento,92,PDI Chronic Composite (Age 6-17),231,"242,618",95.2,94.4,,,,,,
2011,Sacramento,92,PDI Chronic Composite (Age 6-17),211,"240,117",87.9,86.7,,,,,,
2012,Sacramento,92,PDI Chronic Composite (Age 6-17),233,"237,756",98,96.1,,,,,,
2013,Sacramento,92,PDI Chronic Composite (Age 6-17),235,"237,853",98.8,96.5,,,,,,
2014,Sacramento,92,PDI Chronic Composite (Age 6-17),233,"242,363",96.1,95.2,,,,,,
2015,Sacramento,92,PDI Chronic Composite (Age 6-17),184,"177,095",103.9,100.8,,,,,,
2016,Sacramento,92,PDI Chronic Composite (Age 6-17),,,,,208,"243,310",85.5,90.8,,
2017,Sacramento,92,PDI Chronic Composite (Age 6-17),,,,,186,"244,704",76.0,80.8,,
2018,Sacramento,92,PDI Chronic Composite (Age 6-17),,,,,164,"244,834",67.0,71.3,,
2019,Sacramento,92,PDI Chronic Composite (Age 6-17),,,,,149,"244,931",60.8,64.7,,
2020,Sacramento,92,PDI Chronic Composite (Age 6-17),,,,,100,"245,069",40.8,43.4,,
2005,San Benito,9,Low Birth Weight (<2500 grams),47,883,53.2,53.1,,,,,,
2006,San Benito,9,Low Birth Weight (<2500 grams),44,893,49.3,49.3,,,,,,
2007,San Benito,9,Low Birth Weight (<2500 grams),48,886,54.2,54.2,,,,,,
2008,San Benito,9,Low Birth Weight (<2500 grams),54,804,67.2,67,,,,,,
2009,San Benito,9,Low Birth Weight (<2500 grams),35,740,47.3,47.3,,,,,,
2010,San Benito,9,Low Birth Weight (<2500 grams),38,737,51.6,51.7,,,,,,
2011,San Benito,9,Low Birth Weight (<2500 grams),47,762,61.7,61.6,,,,,,
2012,San Benito,9,Low Birth Weight (<2500 grams),30,681,44.1,44.1,,,,,,
2013,San Benito,9,Low Birth Weight (<2500 grams),53,732,72.4,72.4,,,,,,
2014,San Benito,9,Low Birth Weight (<2500 grams),35,686,51,51.1,,,,,,
2015,San Benito,9,Low Birth Weight (<2500 grams),42,546,76.9,76.7,,,,,,
2005,San Benito,14,Asthma (Age 2-17),,,20.4,20.2,,,,,,
2006,San Benito,14,Asthma (Age 2-17),,,55.4,55,,,,,,
2007,San Benito,14,Asthma (Age 2-17),,,41.7,41.6,,,,,,
2008,San Benito,14,Asthma (Age 2-17),,,34.9,35.1,,,,,,
2009,San Benito,14,Asthma (Age 2-17),,,70.7,71.2,,,,,,
2010,San Benito,14,Asthma (Age 2-17),13,"14,307",90.9,91,,,,,,
2011,San Benito,14,Asthma (Age 2-17),11,"14,199",77.5,78,,,,,,
2012,San Benito,14,Asthma (Age 2-17),,,49.6,49.7,,,,,,
2013,San Benito,14,Asthma (Age 2-17),12,"14,041",85.5,85.3,,,,,,
2014,San Benito,14,Asthma (Age 2-17),,,21.8,22.2,,,,,,
2015,San Benito,14,Asthma (Age 2-17),,,58,58.1,,,,,,
2016,San Benito,14,Asthma (Age 2-17),,,,,,,50.1,69.0,1,Cell suppressed for small numbers
2017,San Benito,14,Asthma (Age 2-17),,,,,,,57.2,78.7,1,Cell suppressed for small numbers
2018,San Benito,14,Asthma (Age 2-17),,,,,,,35.2,48.4,1,Cell suppressed for small numbers
2019,San Benito,14,Asthma (Age 2-17),,,,,,,20.9,28.6,1,Cell suppressed for small numbers
2020,San Benito,14,Asthma (Age 2-17),,,,,,,13.7,18.7,1,Cell suppressed for small numbers
2005,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,26.8,26.4,,,,,,
2006,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,18.2,17.9,,,,,,
2007,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,9.1,8.9,,,,,,
2008,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,18.2,17.8,,,,,,
2009,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,18.4,18,,,,,,
2010,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,27.4,26.9,,,,,,
2011,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,9.2,9,,,,,,
2012,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,18.5,18.2,,,,,,
2013,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,46.6,46.2,,,,,,
2014,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,28.2,27.4,,,,,,
2015,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,25.2,25,,,,,,
2016,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,,,,,18.6,21.4,1,Cell suppressed for small numbers
2017,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,,,0,"10,783",0.0,0.0,,
2018,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,,,0,"10,957",0.0,0.0,,
2019,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,,,0,"11,034",0.0,0.0,,
2020,San Benito,15,Diabetes Short-term Complications (Age 6-17),,,,,,,17.8,20.5,1,Cell suppressed for small numbers
2005,San Benito,16,Gastroenteritis (Age 3 months-17 years),28,"16,218",172.6,170.4,,,,,,
2006,San Benito,16,Gastroenteritis (Age 3 months-17 years),19,"15,961",119,116.6,,,,,,
2007,San Benito,16,Gastroenteritis (Age 3 months-17 years),13,"15,895",81.8,80.2,,,,,,
2008,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,50.6,50.3,,,,,,
2009,San Benito,16,Gastroenteritis (Age 3 months-17 years),12,"15,568",77.1,77.1,,,,,,
2010,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,63.5,63.3,,,,,,
2011,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,64.1,64.4,,,,,,
2012,San Benito,16,Gastroenteritis (Age 3 months-17 years),11,"15,525",70.9,70.8,,,,,,
2013,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,64.7,64.3,,,,,,
2014,San Benito,16,Gastroenteritis (Age 3 months-17 years),0,"15,134",0,0,,,,,,
2015,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,26.4,26.6,,,,,,
2016,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,,,,,26.1,30.8,1,Cell suppressed for small numbers
2017,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,,,,,26.0,30.7,1,Cell suppressed for small numbers
2018,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,,,,,19.2,22.6,1,Cell suppressed for small numbers
2019,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,,,,,12.7,14.8,1,Cell suppressed for small numbers
2020,San Benito,16,Gastroenteritis (Age 3 months-17 years),,,,,0,"16,101",0.0,0.0,,
2005,San Benito,17,Perforated Appendix (Age 1-17),,,148.1,144.1,,,,,,
2006,San Benito,17,Perforated Appendix (Age 1-17),,,240,214.2,,,,,,
