Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2011,Merced,13,Angina without Procedure,35,178783,19.6,23.2,,,,,,
2012,Merced,13,Angina without Procedure,14,174274,8.0,9.1,,,,,,
2013,Merced,13,Angina without Procedure,12,176084,6.8,7.6,,,,,,
2014,Merced,13,Angina without Procedure,19,184892,10.3,11.8,,,,,,
2015,Merced,13,Angina without Procedure,18,133727,13.5,14.6,,,,,,
2005,Merced,14,Uncontrolled Diabetes,16,162795,9.8,11.1,,,,,,
2006,Merced,14,Uncontrolled Diabetes,9,165009,5.5,6.1,,,,,,
2007,Merced,14,Uncontrolled Diabetes,8,167724,4.8,5.3,,,,,,
2008,Merced,14,Uncontrolled Diabetes,27,169736,15.9,17.7,,,,,,
2009,Merced,14,Uncontrolled Diabetes,23,171809,13.4,14.9,,,,,,
2010,Merced,14,Uncontrolled Diabetes,24,175232,13.7,15.1,,,,,,
2011,Merced,14,Uncontrolled Diabetes,21,178783,11.7,13.0,,,,,,
2012,Merced,14,Uncontrolled Diabetes,11,174274,6.3,6.7,,,,,,
2013,Merced,14,Uncontrolled Diabetes,16,176084,9.1,9.7,,,,,,
2014,Merced,14,Uncontrolled Diabetes,14,184892,7.6,8.2,,,,,,
2015,Merced,14,Uncontrolled Diabetes,5,133727,3.7,3.9,,,,,,
2016,Merced,14,Uncontrolled Diabetes,,,,,67,187379,35.8,26.21264369,,
2017,Merced,14,Uncontrolled Diabetes,,,,,74,190075,38.9,28.49007781,,
2018,Merced,14,Uncontrolled Diabetes,,,,,90,193011,46.6,34.05402927,,
2019,Merced,14,Uncontrolled Diabetes,,,,,72,196051,36.7,26.70675895,,
2020,Merced,14,Uncontrolled Diabetes,,,,,50,198258,25.2,18.1978173,,
2005,Merced,15,Asthma in Younger Adults (Age 18-39),43,77398,55.6,56.3,,,,,,
2006,Merced,15,Asthma in Younger Adults (Age 18-39),25,78419,31.9,32.4,,,,,,
2007,Merced,15,Asthma in Younger Adults (Age 18-39),24,79397,30.2,30.7,,,,,,
2008,Merced,15,Asthma in Younger Adults (Age 18-39),36,79695,45.2,45.9,,,,,,
2009,Merced,15,Asthma in Younger Adults (Age 18-39),33,80048,41.2,42.0,,,,,,
2010,Merced,15,Asthma in Younger Adults (Age 18-39),39,81418,47.9,48.9,,,,,,
2011,Merced,15,Asthma in Younger Adults (Age 18-39),32,82821,38.6,39.6,,,,,,
2012,Merced,15,Asthma in Younger Adults (Age 18-39),29,76590,37.9,38.2,,,,,,
2013,Merced,15,Asthma in Younger Adults (Age 18-39),24,77046,31.2,31.5,,,,,,
2014,Merced,15,Asthma in Younger Adults (Age 18-39),20,83069,24.1,24.6,,,,,,
2015,Merced,15,Asthma in Younger Adults (Age 18-39),16,56654,28.2,28.3,,,,,,
2016,Merced,15,Asthma in Younger Adults (Age 18-39),,,,,22,85619,25.7,18.2666927,,
2017,Merced,15,Asthma in Younger Adults (Age 18-39),,,,,18,87089,20.7,14.70360543,,
2018,Merced,15,Asthma in Younger Adults (Age 18-39),,,,,21,88746,23.7,16.80926497,,
2019,Merced,15,Asthma in Younger Adults (Age 18-39),,,,,24,90046,26.7,18.945057,,
2020,Merced,15,Asthma in Younger Adults (Age 18-39),,,,,13,90483,14.4,10.18972322,,
2005,Merced,16,Lower-Extremity Amputation (Diabetes),29,162795,17.8,22.6,,,,,,
2006,Merced,16,Lower-Extremity Amputation (Diabetes),26,165009,15.8,19.9,,,,,,
2007,Merced,16,Lower-Extremity Amputation (Diabetes),38,167724,22.7,28.3,,,,,,
2008,Merced,16,Lower-Extremity Amputation (Diabetes),27,169736,15.9,19.6,,,,,,
2009,Merced,16,Lower-Extremity Amputation (Diabetes),22,171809,12.8,15.6,,,,,,
2010,Merced,16,Lower-Extremity Amputation (Diabetes),23,175232,13.1,15.8,,,,,,
2011,Merced,16,Lower-Extremity Amputation (Diabetes),28,178783,15.7,18.6,,,,,,
2012,Merced,16,Lower-Extremity Amputation (Diabetes),50,174274,28.7,32.4,,,,,,
2013,Merced,16,Lower-Extremity Amputation (Diabetes),45,176084,25.6,28.6,,,,,,
2014,Merced,16,Lower-Extremity Amputation (Diabetes),35,184892,18.9,21.9,,,,,,
2015,Merced,16,Lower-Extremity Amputation (Diabetes),31,133727,23.2,25.0,,,,,,
2016,Merced,16,Lower-Extremity Amputation (Diabetes),,,,,52,187379,27.8,20.33307866,,
2017,Merced,16,Lower-Extremity Amputation (Diabetes),,,,,81,190075,42.6,31.14391877,,
2018,Merced,16,Lower-Extremity Amputation (Diabetes),,,,,75,193011,38.9,28.33809109,,
2019,Merced,16,Lower-Extremity Amputation (Diabetes),,,,,78,196051,39.8,28.90265844,,
2020,Merced,16,Lower-Extremity Amputation (Diabetes),,,,,110,198258,55.5,39.94915499,,
2005,Merced,90,Prevention Quality Overall Composite,2248,162795,1380.9,1728.2,,,,,,
2006,Merced,90,Prevention Quality Overall Composite,2255,165009,1366.6,1712.4,,,,,,
2007,Merced,90,Prevention Quality Overall Composite,2338,167724,1394.0,1730.0,,,,,,
2008,Merced,90,Prevention Quality Overall Composite,2309,169736,1360.3,1670.9,,,,,,
2009,Merced,90,Prevention Quality Overall Composite,2340,171809,1362.0,1653.6,,,,,,
2010,Merced,90,Prevention Quality Overall Composite,2559,175232,1460.3,1756.2,,,,,,
2011,Merced,90,Prevention Quality Overall Composite,2521,178783,1410.1,1681.0,,,,,,
2012,Merced,90,Prevention Quality Overall Composite,2167,174274,1243.4,1425.3,,,,,,
2013,Merced,90,Prevention Quality Overall Composite,2214,176084,1257.4,1427.9,,,,,,
2014,Merced,90,Prevention Quality Overall Composite,2134,184892,1154.2,1349.0,,,,,,
2015,Merced,90,Prevention Quality Overall Composite,1956,133727,1462.7,1608.0,,,,,,
2016,Merced,90,Prevention Quality Overall Composite,,,,,2636,187379,1406.8,1179.801797,,
2017,Merced,90,Prevention Quality Overall Composite,,,,,2939,190075,1546.2,1294.321207,,
2018,Merced,90,Prevention Quality Overall Composite,,,,,3005,193011,1556.9,1300.451568,,
2019,Merced,90,Prevention Quality Overall Composite,,,,,2792,196051,1424.1,1182.941024,,
2020,Merced,90,Prevention Quality Overall Composite,,,,,2182,198258,1100.6,905.5573957,,
2005,Merced,91,Prevention Quality Acute Composite,893,162795,548.5,696.0,,,,,,
2006,Merced,91,Prevention Quality Acute Composite,845,165009,512.1,651.1,,,,,,
2007,Merced,91,Prevention Quality Acute Composite,984,167724,586.7,737.9,,,,,,
2008,Merced,91,Prevention Quality Acute Composite,831,169736,489.6,609.5,,,,,,
2009,Merced,91,Prevention Quality Acute Composite,927,171809,539.6,663.9,,,,,,
2010,Merced,91,Prevention Quality Acute Composite,943,175232,538.1,655.3,,,,,,
2011,Merced,91,Prevention Quality Acute Composite,904,178783,505.6,610.2,,,,,,
2012,Merced,91,Prevention Quality Acute Composite,834,174274,478.6,555.8,,,,,,
2013,Merced,91,Prevention Quality Acute Composite,807,176084,458.3,527.3,,,,,,
2014,Merced,91,Prevention Quality Acute Composite,754,184892,407.8,483.1,,,,,,
2015,Merced,91,Prevention Quality Acute Composite,775,133727,579.5,644.7,,,,,,
2016,Merced,91,Prevention Quality Acute Composite,,,,,767,187379,409.3,364.330742,,
2017,Merced,91,Prevention Quality Acute Composite,,,,,625,190075,328.8,292.3278105,,
2018,Merced,91,Prevention Quality Acute Composite,,,,,717,193011,371.5,329.6264922,,
2019,Merced,91,Prevention Quality Acute Composite,,,,,538,196051,274.4,241.9359692,,
2020,Merced,91,Prevention Quality Acute Composite,,,,,427,198258,215.4,187.9084086,,
2005,Merced,92,Prevention Quality Chronic Composite,1355,162795,832.3,1032.9,,,,,,
2006,Merced,92,Prevention Quality Chronic Composite,1410,165009,854.5,1061.2,,,,,,
2007,Merced,92,Prevention Quality Chronic Composite,1354,167724,807.3,993.6,,,,,,
2008,Merced,92,Prevention Quality Chronic Composite,1478,169736,870.8,1060.7,,,,,,
2009,Merced,92,Prevention Quality Chronic Composite,1413,171809,822.4,990.3,,,,,,
2010,Merced,92,Prevention Quality Chronic Composite,1616,175232,922.2,1100.5,,,,,,
2011,Merced,92,Prevention Quality Chronic Composite,1617,178783,904.4,1070.2,,,,,,
2012,Merced,92,Prevention Quality Chronic Composite,1333,174274,764.9,869.7,,,,,,
2013,Merced,92,Prevention Quality Chronic Composite,1407,176084,799.1,900.2,,,,,,
2014,Merced,92,Prevention Quality Chronic Composite,1380,184892,746.4,865.2,,,,,,
2015,Merced,92,Prevention Quality Chronic Composite,1181,133727,883.1,963.9,,,,,,
2016,Merced,92,Prevention Quality Chronic Composite,,,,,1869,187379,997.4,820.5976309,,
2017,Merced,92,Prevention Quality Chronic Composite,,,,,2314,190075,1217.4,999.4806479,,
2018,Merced,92,Prevention Quality Chronic Composite,,,,,2288,193011,1185.4,971.0597935,,
2019,Merced,92,Prevention Quality Chronic Composite,,,,,2254,196051,1149.7,936.8180185,,
2020,Merced,92,Prevention Quality Chronic Composite,,,,,1755,198258,885.2,714.6815219,,
2016,Merced,93,Prevention Quality Diabetes Composite,,,,,424,187379,226.3,164.187446,,
2017,Merced,93,Prevention Quality Diabetes Composite,,,,,503,190075,264.6,191.8769974,,
2018,Merced,93,Prevention Quality Diabetes Composite,,,,,656,193011,339.9,246.2636758,,
2019,Merced,93,Prevention Quality Diabetes Composite,,,,,633,196051,322.9,233.5564051,,
2020,Merced,93,Prevention Quality Diabetes Composite,,,,,588,198258,296.6,213.722556,,
2005,Modoc,1,Diabetes Short-term Complications,3,7407,40.5,42.7,,,,,,
2006,Modoc,1,Diabetes Short-term Complications,4,7461,53.6,56.7,,,,,,
2007,Modoc,1,Diabetes Short-term Complications,1,7429,13.5,14.4,,,,,,
2008,Modoc,1,Diabetes Short-term Complications,1,7469,13.4,14.3,,,,,,
2009,Modoc,1,Diabetes Short-term Complications,4,7565,52.9,56.7,,,,,,
2010,Modoc,1,Diabetes Short-term Complications,3,7599,39.5,42.3,,,,,,
2011,Modoc,1,Diabetes Short-term Complications,2,7517,26.6,28.8,,,,,,
2012,Modoc,1,Diabetes Short-term Complications,2,9249,21.6,20.5,,,,,,
2013,Modoc,1,Diabetes Short-term Complications,2,9141,21.9,20.8,,,,,,
2014,Modoc,1,Diabetes Short-term Complications,1,8570,11.7,11.7,,,,,,
2015,Modoc,1,Diabetes Short-term Complications,5,7417,67.4,61.5,,,,,,
2016,Modoc,1,Diabetes Short-term Complications,,,,,1,7172,13.9,11.4341714,,
2017,Modoc,1,Diabetes Short-term Complications,,,,,2,7115,28.1,23.18112961,,
2018,Modoc,1,Diabetes Short-term Complications,,,,,11,7066,155.7,129.0947459,,
2019,Modoc,1,Diabetes Short-term Complications,,,,,8,7114,112.5,93.35136664,,
2020,Modoc,1,Diabetes Short-term Complications,,,,,9,7064,127.4,106.6212288,,
2005,Modoc,2,Perforated Appendix,2,4,50.0,42.1,,,,,,
2006,Modoc,2,Perforated Appendix,0,3,0.0,0.0,,,,,,
2007,Modoc,2,Perforated Appendix,1,3,33.3,35.4,,,,,,
2008,Modoc,2,Perforated Appendix,1,4,25.0,21.7,,,,,,
2009,Modoc,2,Perforated Appendix,1,3,33.3,36.0,,,,,,
2010,Modoc,2,Perforated Appendix,1,2,50.0,,,,,,,
2011,Modoc,2,Perforated Appendix,0,4,0.0,0.0,,,,,,
2012,Modoc,2,Perforated Appendix,3,5,60.0,53.1,,,,,,
2013,Modoc,2,Perforated Appendix,1,3,33.3,32.4,,,,,,
2014,Modoc,2,Perforated Appendix,1,2,50.0,,,,,,,
2015,Modoc,2,Perforated Appendix,0,1,0.0,,,,,,,
2005,Modoc,3,Diabetes Long-term Complications,2,7407,27.0,23.1,,,,,,
2006,Modoc,3,Diabetes Long-term Complications,2,7461,26.8,22.9,,,,,,
2007,Modoc,3,Diabetes Long-term Complications,1,7429,13.5,11.4,,,,,,
2008,Modoc,3,Diabetes Long-term Complications,5,7469,66.9,56.6,,,,,,
2009,Modoc,3,Diabetes Long-term Complications,6,7565,79.3,66.6,,,,,,
2010,Modoc,3,Diabetes Long-term Complications,5,7599,65.8,55.1,,,,,,
2011,Modoc,3,Diabetes Long-term Complications,2,7517,26.6,21.9,,,,,,
2012,Modoc,3,Diabetes Long-term Complications,4,9249,43.2,43.6,,,,,,
2013,Modoc,3,Diabetes Long-term Complications,5,9141,54.7,54.8,,,,,,
2014,Modoc,3,Diabetes Long-term Complications,4,8570,46.7,42.6,,,,,,
2015,Modoc,3,Diabetes Long-term Complications,4,7417,53.9,58.3,,,,,,
2016,Modoc,3,Diabetes Long-term Complications,,,,,4,7172,55.8,36.52791856,,
2017,Modoc,3,Diabetes Long-term Complications,,,,,3,7115,42.2,27.38929773,,
2018,Modoc,3,Diabetes Long-term Complications,,,,,5,7066,70.8,45.68727034,,
2019,Modoc,3,Diabetes Long-term Complications,,,,,4,7114,56.2,36.42061407,,
2020,Modoc,3,Diabetes Long-term Complications,,,,,5,7064,70.8,45.38355265,,
2005,Modoc,5,COPD or Asthma in Older Adults (Age 40+),11,5344,205.8,195.1,,,,,,
2006,Modoc,5,COPD or Asthma in Older Adults (Age 40+),,,129.6,123.2,,,,,,
2007,Modoc,5,COPD or Asthma in Older Adults (Age 40+),,,167.1,156.4,,,,,,
2008,Modoc,5,COPD or Asthma in Older Adults (Age 40+),14,5443,257.2,241.9,,,,,,
2009,Modoc,5,COPD or Asthma in Older Adults (Age 40+),22,5514,399.0,369.8,,,,,,
2010,Modoc,5,COPD or Asthma in Older Adults (Age 40+),25,5517,453.1,416.6,,,,,,
2011,Modoc,5,COPD or Asthma in Older Adults (Age 40+),21,5497,382.0,343.1,,,,,,
2012,Modoc,5,COPD or Asthma in Older Adults (Age 40+),34,5407,628.8,559.9,,,,,,
2013,Modoc,5,COPD or Asthma in Older Adults (Age 40+),25,5322,469.7,410.2,,,,,,
2014,Modoc,5,COPD or Asthma in Older Adults (Age 40+),,,179.1,159.5,,,,,,
2015,Modoc,5,COPD or Asthma in Older Adults (Age 40+),15,3904,384.2,325.8,,,,,,
2016,Modoc,5,COPD or Asthma in Older Adults (Age 40+),,,,,14,5231,267.6,182.0687638,,
2017,Modoc,5,COPD or Asthma in Older Adults (Age 40+),,,,,15,5228,286.9,193.0106797,,
2018,Modoc,5,COPD or Asthma in Older Adults (Age 40+),,,,,,,96.3,63.73484372,1,Cell suppressed for small numbers
2019,Modoc,5,COPD or Asthma in Older Adults (Age 40+),,,,,,,153.8,100.7236779,1,Cell suppressed for small numbers
2020,Modoc,5,COPD or Asthma in Older Adults (Age 40+),,,,,15,5214,287.7,185.5599525,,
2005,Modoc,7,Hypertension,0,7407,0.0,0.0,,,,,,
2006,Modoc,7,Hypertension,1,7461,13.4,11.7,,,,,,
2007,Modoc,7,Hypertension,3,7429,40.4,34.7,,,,,,
2008,Modoc,7,Hypertension,0,7469,0.0,0.0,,,,,,
2009,Modoc,7,Hypertension,0,7565,0.0,0.0,,,,,,
2010,Modoc,7,Hypertension,0,7599,0.0,0.0,,,,,,
2011,Modoc,7,Hypertension,6,7517,79.8,67.5,,,,,,
2012,Modoc,7,Hypertension,3,9249,32.4,33.9,,,,,,
2013,Modoc,7,Hypertension,2,9142,21.9,22.8,,,,,,
2014,Modoc,7,Hypertension,0,8570,0.0,0.0,,,,,,
2015,Modoc,7,Hypertension,1,7417,13.5,15.2,,,,,,
2016,Modoc,7,Hypertension,,,,,3,7172,41.8,26.48995965,,
2017,Modoc,7,Hypertension,,,,,3,7115,42.2,26.37995,,
2018,Modoc,7,Hypertension,,,,,1,7066,14.2,8.791050478,,
2019,Modoc,7,Hypertension,,,,,1,7114,14.1,8.6662575,,
2020,Modoc,7,Hypertension,,,,,4,7064,56.6,34.3673649,,
2005,Modoc,8,Heart Failure,10,7407,135.0,109.9,,,,,,
2006,Modoc,8,Heart Failure,15,7461,201.0,165.2,,,,,,
2007,Modoc,8,Heart Failure,17,7429,228.8,181.6,,,,,,
2008,Modoc,8,Heart Failure,13,7469,174.1,139.0,,,,,,
2009,Modoc,8,Heart Failure,21,7565,277.6,218.8,,,,,,
2010,Modoc,8,Heart Failure,23,7599,302.7,236.3,,,,,,
2011,Modoc,8,Heart Failure,11,7517,146.3,110.0,,,,,,
2012,Modoc,8,Heart Failure,21,9249,227.1,211.9,,,,,,
2013,Modoc,8,Heart Failure,14,9141,153.2,140.4,,,,,,
2014,Modoc,8,Heart Failure,19,8570,221.7,185.7,,,,,,
2015,Modoc,8,Heart Failure,10,7417,134.8,131.6,,,,,,
2016,Modoc,8,Heart Failure,,,,,18,7172,251.0,149.5089057,,
2017,Modoc,8,Heart Failure,,,,,21,7115,295.2,172.0629205,,
2018,Modoc,8,Heart Failure,,,,,15,7067,212.3,121.1514845,,
2019,Modoc,8,Heart Failure,,,,,14,7114,196.8,110.5584432,,
2020,Modoc,8,Heart Failure,,,,,18,7064,254.8,139.482211,,
2005,Modoc,10,Dehydration,6,7407,81.0,68.5,,,,,,
2006,Modoc,10,Dehydration,5,7461,67.0,57.1,,,,,,
2007,Modoc,10,Dehydration,7,7429,94.2,78.0,,,,,,
2008,Modoc,10,Dehydration,9,7469,120.5,100.3,,,,,,
2009,Modoc,10,Dehydration,8,7565,105.8,86.9,,,,,,
2010,Modoc,10,Dehydration,12,7599,157.9,129.1,,,,,,
2011,Modoc,10,Dehydration,14,7517,186.2,147.3,,,,,,
2012,Modoc,10,Dehydration,5,9249,54.1,51.4,,,,,,
2013,Modoc,10,Dehydration,18,9141,196.9,184.4,,,,,,
2014,Modoc,10,Dehydration,8,8570,93.3,81.1,,,,,,
2015,Modoc,10,Dehydration,11,7417,148.3,146.4,,,,,,
2005,Modoc,11,Community-Acquired Pneumonia,27,7408,364.5,303.5,,,,,,
2006,Modoc,11,Community-Acquired Pneumonia,29,7461,388.7,326.5,,,,,,
2007,Modoc,11,Community-Acquired Pneumonia,31,7429,417.3,340.5,,,,,,
2008,Modoc,11,Community-Acquired Pneumonia,25,7469,334.7,274.7,,,,,,
2009,Modoc,11,Community-Acquired Pneumonia,31,7565,409.8,332.5,,,,,,
2010,Modoc,11,Community-Acquired Pneumonia,26,7599,342.2,275.2,,,,,,
2011,Modoc,11,Community-Acquired Pneumonia,26,7517,345.9,268.9,,,,,,
2012,Modoc,11,Community-Acquired Pneumonia,22,9249,237.9,224.4,,,,,,
2013,Modoc,11,Community-Acquired Pneumonia,32,9141,350.1,325.1,,,,,,
2014,Modoc,11,Community-Acquired Pneumonia,18,8570,210.0,180.1,,,,,,
2015,Modoc,11,Community-Acquired Pneumonia,12,7417,161.8,159.2,,,,,,
2016,Modoc,11,Community-Acquired Pneumonia,,,,,24,7172,334.6,202.3717891,,
2017,Modoc,11,Community-Acquired Pneumonia,,,,,20,7115,281.1,166.5108699,,
2018,Modoc,11,Community-Acquired Pneumonia,,,,,22,7066,311.4,180.819132,,
2019,Modoc,11,Community-Acquired Pneumonia,,,,,21,7114,295.2,168.7366905,,
2020,Modoc,11,Community-Acquired Pneumonia,,,,,22,7064,311.4,173.4816863,,
2005,Modoc,12,Urinary Tract Infection,5,7407,67.5,59.8,,,,,,
2006,Modoc,12,Urinary Tract Infection,3,7461,40.2,36.0,,,,,,
2007,Modoc,12,Urinary Tract Infection,9,7429,121.1,104.8,,,,,,
2008,Modoc,12,Urinary Tract Infection,8,7469,107.1,93.2,,,,,,
2009,Modoc,12,Urinary Tract Infection,9,7565,119.0,102.3,,,,,,
2010,Modoc,12,Urinary Tract Infection,6,7599,79.0,67.8,,,,,,
2011,Modoc,12,Urinary Tract Infection,11,7517,146.3,121.3,,,,,,
2012,Modoc,12,Urinary Tract Infection,19,9249,205.4,200.7,,,,,,
2013,Modoc,12,Urinary Tract Infection,9,9141,98.5,94.6,,,,,,
2014,Modoc,12,Urinary Tract Infection,9,8570,105.0,95.1,,,,,,
2015,Modoc,12,Urinary Tract Infection,10,7417,134.8,134.3,,,,,,
2016,Modoc,12,Urinary Tract Infection,,,,,9,7172,125.5,85.92260451,,
2017,Modoc,12,Urinary Tract Infection,,,,,11,7115,154.6,102.7868706,,
2018,Modoc,12,Urinary Tract Infection,,,,,7,7066,99.1,64.67486183,,
2019,Modoc,12,Urinary Tract Infection,,,,,17,7114,239.0,152.4281254,,
2020,Modoc,12,Urinary Tract Infection,,,,,4,7064,56.6,35.11010653,,
2005,Modoc,13,Angina without Procedure,0,7407,0.0,0.0,,,,,,
2006,Modoc,13,Angina without Procedure,1,7461,13.4,11.2,,,,,,
2007,Modoc,13,Angina without Procedure,2,7429,26.9,22.3,,,,,,
2008,Modoc,13,Angina without Procedure,1,7469,13.4,11.1,,,,,,
2009,Modoc,13,Angina without Procedure,2,7565,26.4,21.7,,,,,,
2010,Modoc,13,Angina without Procedure,0,7599,0.0,0.0,,,,,,
2011,Modoc,13,Angina without Procedure,2,7517,26.6,21.4,,,,,,
2012,Modoc,13,Angina without Procedure,2,9249,21.6,21.6,,,,,,
2013,Modoc,13,Angina without Procedure,0,9141,0.0,0.0,,,,,,
2014,Modoc,13,Angina without Procedure,0,8570,0.0,0.0,,,,,,
2015,Modoc,13,Angina without Procedure,0,7417,0.0,0.0,,,,,,
2005,Modoc,14,Uncontrolled Diabetes,1,7407,13.5,12.1,,,,,,
2006,Modoc,14,Uncontrolled Diabetes,2,7461,26.8,23.9,,,,,,
2007,Modoc,14,Uncontrolled Diabetes,1,7429,13.5,12.0,,,,,,
2008,Modoc,14,Uncontrolled Diabetes,0,7469,0.0,0.0,,,,,,
2009,Modoc,14,Uncontrolled Diabetes,2,7565,26.4,23.4,,,,,,
2010,Modoc,14,Uncontrolled Diabetes,0,7599,0.0,0.0,,,,,,
2011,Modoc,14,Uncontrolled Diabetes,0,7517,0.0,0.0,,,,,,
2012,Modoc,14,Uncontrolled Diabetes,0,9249,0.0,0.0,,,,,,
2013,Modoc,14,Uncontrolled Diabetes,0,9141,0.0,0.0,,,,,,
2014,Modoc,14,Uncontrolled Diabetes,0,8570,0.0,0.0,,,,,,
2015,Modoc,14,Uncontrolled Diabetes,1,7417,13.5,14.7,,,,,,
2016,Modoc,14,Uncontrolled Diabetes,,,,,4,7172,55.8,35.29035203,,
2017,Modoc,14,Uncontrolled Diabetes,,,,,0,7115,0.0,0,,
2018,Modoc,14,Uncontrolled Diabetes,,,,,2,7066,28.3,17.47159965,,
2019,Modoc,14,Uncontrolled Diabetes,,,,,1,7114,14.1,8.618219015,,
2020,Modoc,14,Uncontrolled Diabetes,,,,,4,7064,56.6,34.0944312,,
2005,Modoc,15,Asthma in Younger Adults (Age 18-39),,,48.5,48.2,,,,,,
2006,Modoc,15,Asthma in Younger Adults (Age 18-39),0,2061,0.0,0.0,,,,,,
2007,Modoc,15,Asthma in Younger Adults (Age 18-39),0,2044,0.0,0.0,,,,,,
2008,Modoc,15,Asthma in Younger Adults (Age 18-39),,,49.4,49.8,,,,,,
2009,Modoc,15,Asthma in Younger Adults (Age 18-39),0,2051,0.0,0.0,,,,,,
2010,Modoc,15,Asthma in Younger Adults (Age 18-39),,,48.0,48.5,,,,,,
2011,Modoc,15,Asthma in Younger Adults (Age 18-39),0,2020,0.0,0.0,,,,,,
2012,Modoc,15,Asthma in Younger Adults (Age 18-39),,,26.0,29.2,,,,,,
2013,Modoc,15,Asthma in Younger Adults (Age 18-39),0,3819,0.0,0.0,,,,,,
2014,Modoc,15,Asthma in Younger Adults (Age 18-39),,,167.4,183.0,,,,,,
2015,Modoc,15,Asthma in Younger Adults (Age 18-39),,,113.9,130.2,,,,,,
2016,Modoc,15,Asthma in Younger Adults (Age 18-39),,,,,0,1941,0.0,0,,
2017,Modoc,15,Asthma in Younger Adults (Age 18-39),,,,,,,53.0,42.09474312,1,Cell suppressed for small numbers
2018,Modoc,15,Asthma in Younger Adults (Age 18-39),,,,,0,1874,0.0,0,,
2019,Modoc,15,Asthma in Younger Adults (Age 18-39),,,,,,,156.9,125.9234811,1,Cell suppressed for small numbers
2020,Modoc,15,Asthma in Younger Adults (Age 18-39),,,,,0,1850,0.0,0,,
2005,Modoc,16,Lower-Extremity Amputation (Diabetes),1,7407,13.5,10.9,,,,,,
2006,Modoc,16,Lower-Extremity Amputation (Diabetes),0,7461,0.0,0.0,,,,,,
2007,Modoc,16,Lower-Extremity Amputation (Diabetes),0,7429,0.0,0.0,,,,,,
2008,Modoc,16,Lower-Extremity Amputation (Diabetes),0,7469,0.0,0.0,,,,,,
2009,Modoc,16,Lower-Extremity Amputation (Diabetes),1,7565,13.2,10.3,,,,,,
2010,Modoc,16,Lower-Extremity Amputation (Diabetes),0,7599,0.0,0.0,,,,,,
2011,Modoc,16,Lower-Extremity Amputation (Diabetes),1,7517,13.3,10.1,,,,,,
2012,Modoc,16,Lower-Extremity Amputation (Diabetes),0,9249,0.0,0.0,,,,,,
2013,Modoc,16,Lower-Extremity Amputation (Diabetes),0,9141,0.0,0.0,,,,,,
2014,Modoc,16,Lower-Extremity Amputation (Diabetes),0,8570,0.0,0.0,,,,,,
2015,Modoc,16,Lower-Extremity Amputation (Diabetes),2,7417,27.0,27.1,,,,,,
2016,Modoc,16,Lower-Extremity Amputation (Diabetes),,,,,2,7172,27.9,16.44448099,,
2017,Modoc,16,Lower-Extremity Amputation (Diabetes),,,,,1,7115,14.1,8.206428898,,
2018,Modoc,16,Lower-Extremity Amputation (Diabetes),,,,,3,7066,42.5,24.60167549,,
2019,Modoc,16,Lower-Extremity Amputation (Diabetes),,,,,1,7114,14.1,8.178960318,,
2020,Modoc,16,Lower-Extremity Amputation (Diabetes),,,,,0,7064,0.0,0,,
2005,Modoc,90,Prevention Quality Overall Composite,66,7408,890.9,753.6,,,,,,
2006,Modoc,90,Prevention Quality Overall Composite,69,7462,924.7,786.7,,,,,,
2007,Modoc,90,Prevention Quality Overall Composite,81,7429,1090.3,905.3,,,,,,
2008,Modoc,90,Prevention Quality Overall Composite,77,7469,1030.9,859.3,,,,,,
2009,Modoc,90,Prevention Quality Overall Composite,105,7565,1388.0,1143.5,,,,,,
2010,Modoc,90,Prevention Quality Overall Composite,101,7599,1329.1,1089.3,,,,,,
2011,Modoc,90,Prevention Quality Overall Composite,96,7517,1277.1,1015.4,,,,,,
2012,Modoc,90,Prevention Quality Overall Composite,113,9249,1221.8,1167.3,,,,,,
2013,Modoc,90,Prevention Quality Overall Composite,107,9142,1170.4,1101.9,,,,,,
2014,Modoc,90,Prevention Quality Overall Composite,74,8570,863.5,753.8,,,,,,
2015,Modoc,90,Prevention Quality Overall Composite,73,7417,984.2,979.3,,,,,,
2016,Modoc,90,Prevention Quality Overall Composite,,,,,78,7172,1087.6,675.7846031,,
2017,Modoc,90,Prevention Quality Overall Composite,,,,,76,7115,1068.2,651.6292989,,
2018,Modoc,90,Prevention Quality Overall Composite,,,,,70,7067,990.5,594.3721332,,
2019,Modoc,90,Prevention Quality Overall Composite,,,,,78,7114,1096.4,650.5733729,,
2020,Modoc,90,Prevention Quality Overall Composite,,,,,81,7064,1146.7,665.4272171,,
2005,Modoc,91,Prevention Quality Acute Composite,38,7408,513.0,436.3,,,,,,
2006,Modoc,91,Prevention Quality Acute Composite,37,7461,495.9,425.9,,,,,,
2007,Modoc,91,Prevention Quality Acute Composite,47,7429,632.7,527.1,,,,,,
2008,Modoc,91,Prevention Quality Acute Composite,42,7469,562.3,471.1,,,,,,
2009,Modoc,91,Prevention Quality Acute Composite,48,7565,634.5,525.3,,,,,,
2010,Modoc,91,Prevention Quality Acute Composite,44,7599,579.0,476.6,,,,,,
2011,Modoc,91,Prevention Quality Acute Composite,51,7517,678.5,539.6,,,,,,
